County,Shannon,Simpson
ab,0.3874757871298213,0.17362997077602316
ag,0.1392944303591306,0.05670815395129647
ar,0.6340548554372492,0.2808068352304879
b,0.16901204793950633,0.05252686593839151
bc,0.18562987605363154,0.07009901218948722
bh,0.8629017336518239,0.48324209329198997
bn,0.39796998419349683,0.1812994637652129
br,0.186635868979476,0.07133196283473808
bt,0.08415869939086547,0.02717073212230725
bv,0.4739882232211701,0.21890884335873606
bz,0.19645661625231461,0.09133304756629179
cj,0.6214935708820862,0.3317041348015227
cl,0.30146935687891624,0.15353037559300686
cs,0.5260443538951544,0.1918285658723733
ct,0.4230755872887144,0.1655972092285205
cv,0.6976673094266971,0.40557095164431034
db,0.24867679491437902,0.11264503190919695
dj,0.20739268090417007,0.09392374164759176
gj,0.10685128950192485,0.04133508232765315
gl,0.17017749348161065,0.07022975859988478
gr,0.226784951059442,0.10989512334343432
hd,0.29868121836127404,0.12168813463547523
hr,0.4756992671960916,0.2563256714703972
if,0.24573211654330854,0.09948879410954492
il,0.2323567319475738,0.10898242709481942
is,0.13101670722580736,0.04436932778979363
mh,0.23390364714296552,0.09785278396498542
mm,0.6455658713970609,0.30116578669025174
ms,0.9458653029812545,0.5700167838228111
nt,0.08706142749819341,0.030651590009061702
ot,0.11384688732412696,0.04597374102968743
ph,0.1281818200642474,0.05022165457280803
sb,0.4000704462487905,0.16949479304955206
sj,0.8146039334385728,0.4634024317951293
sm,0.9355815483232849,0.5410291593055845
sv,0.2110698501794517,0.07348245659704611
tl,0.43022663934174443,0.17143718885619053
tm,0.6173424967079844,0.24048161815006275
tr,0.11167290478255552,0.045500630404901266
vl,0.10549199205140498,0.040202197171238074
vn,0.16576469199736796,0.07309592503501328
vs,0.08724045938501285,0.03238735069380749
